year,all_region,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,cb,cn,jb,jn,kb,kn,jeju
2017-04,49554,6834,2120,171,803,807,2992,987,7514,10589,802,2284,1892,784,861,649,8463,1002
2017-05,36827,4923,3902,267,837,528,316,455,42,15925,484,369,1965,454,522,1351,3482,1005
2017-06,51258,5652,2013,1293,1404,2260,719,805,77,17491,579,1103,1984,2296,992,7100,4251,1239
2017-07,58718,6618,3032,5916,1590,761,991,177,3231,18496,756,1511,4230,605,575,3762,5505,962
2017-08,51587,7913,2033,931,1618,853,129,1214,33,20181,886,1639,3351,510,1521,5062,1787,1926
2017-09,57662,6764,3541,2963,2925,2563,378,3025,73,21413,1677,1420,3068,427,2544,1860,1982,1039
2017-10,50264,3299,1539,1907,1166,393,858,145,1330,23391,1836,289,2828,1502,2521,1152,4273,1835
2017-11,54134,5732,1340,2038,2815,334,1262,1996,745,17538,3497,4651,2018,916,783,3672,3809,988
2017-12,52928,5968,1865,627,4440,1895,430,163,1342,17805,1623,3168,3907,2376,2308,1167,2759,1085
2018-01,60290,4366,2643,507,5249,836,131,1573,2539,21583,2007,1695,3431,3840,978,3338,4344,1230
2018-02,52300,4079,5866,1236,1495,1256,568,903,1448,19620,315,2956,2041,1107,1196,4655,2514,1045
2018-03,51768,6798,2317,2327,1665,701,250,84,3996,20689,1896,3632,1553,1239,677,719,2342,883
2018-04,42343,4398,2761,2518,1406,1214,1196,414,1434,14569,1211,1084,2163,1069,561,1139,4232,974
2018-05,47513,6317,2158,165,487,84,168,97,726,19036,1094,395,3908,204,1463,5851,3933,1427
2018-06,53741,6430,2157,1052,904,1338,877,2595,1547,21831,1948,2860,1602,1958,786,2477,2398,981
2018-07,49107,5969,2704,160,584,723,2297,220,80,18985,4393,1818,2310,1382,664,2878,3251,689
2018-08,53737,4731,1026,2880,528,1525,1303,102,1939,21282,2995,4776,2310,2306,902,2539,1853,740
2018-09,54420,5337,1018,1070,2599,2177,1592,170,93,24478,746,3976,4856,482,1751,2357,774,944
2018-10,50892,8866,5228,961,2792,622,436,1397,25,15778,1578,4274,2015,835,1054,2109,1928,994
2018-11,52915,6591,1797,3238,2103,407,149,441,2040,21619,1742,2909,1313,1532,1543,222,4312,957
