year,all_region,seoul,busan,daegu,incheon,gwangju,daejeon,ulsan,sejong,gyeonggi,gangwon,cb,cn,jb,jn,kb,kn,jeju
2014-09,37726,5539,1966,1036,791,435,143,353,65,14743,474,1598,1713,578,676,4115,2588,913
2014-10,45475,6562,1003,2942,895,105,890,3121,33,17543,723,982,2381,1118,1735,2166,3293,-17
2014-11,49181,7315,939,528,1655,1780,437,957,789,17379,541,1983,2254,1587,673,7228,1801,1335
2014-12,69267,3441,1454,1371,2413,2917,314,1543,29,35091,909,452,5264,1615,2627,2069,6953,805
2015-01,33271,3646,2820,912,1018,113,211,233,233,11616,830,1390,4282,1404,466,1707,1265,1125
2015-02,33301,4541,1150,274,1626,624,1082,768,1574,7196,906,744,4155,1057,424,2068,4595,517
2015-03,52200,7960,1392,1211,1295,484,1807,261,48,22390,706,1592,1187,534,1904,4977,3281,1171
2015-04,51345,5690,870,2005,2167,199,269,1209,38,20756,1101,3573,3951,654,1149,4016,2340,1358
2015-05,56861,4599,3348,1502,1867,2161,743,1104,31,22282,1872,1502,2281,2563,898,4702,3510,1896
2015-06,73102,9916,2023,1959,1540,364,259,274,5482,30445,1195,2898,2207,2403,1640,3988,4684,1825
2015-07,82836,15593,4540,1220,2655,1574,367,1971,3542,26419,780,3841,1123,2800,2290,8402,4079,1640
2015-08,69269,8472,2081,2541,8657,979,814,840,1476,20902,1497,2198,4156,5907,2240,3814,1269,1426
2015-09,87955,11161,3088,1460,3541,3616,475,1722,1520,36513,6349,4172,2314,975,974,4384,4302,1389
2015-10,64200,11408,1448,2142,987,382,1496,1855,326,21766,1042,5334,5312,1182,688,4912,1896,2024
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,160988,18249,10775,11892,5237,4177,464,2222,965,56663,2590,3881,9343,3073,2958,10076,14104,4319
2016-01,47536,5586,3703,1328,770,390,439,2740,30,17332,2616,1403,2018,2186,669,763,4329,1234
2016-02,53723,5874,3902,254,1341,589,557,233,896,19850,520,3804,2327,1239,2698,3617,4884,1138
2016-03,61750,4298,1279,889,915,2098,356,2469,40,23218,926,4328,3335,5191,1255,4128,4737,2288
2016-04,59675,10759,2743,3944,947,1188,168,1984,248,15463,1327,2930,3617,1203,1868,3013,6707,1566
2016-05,52713,4872,3567,3206,1967,2579,304,421,968,13383,2546,870,3343,2385,2901,4050,3626,1725
2016-06,79912,5066,5977,3232,806,3467,3041,403,37,31664,3957,4312,3925,2716,1147,1995,5546,2621
2016-07,61387,10030,3764,1942,1228,652,534,337,2784,20953,1956,832,994,34,900,4603,7509,2335
2016-08,54832,6197,2004,1529,4962,147,267,2330,2077,13272,3845,1675,1437,1621,1913,4056,5679,1821
2016-09,48024,3382,797,1498,1942,3476,1100,2666,1094,9548,4508,2018,1946,1284,1839,4640,4652,1634
2016-10,52438,4610,2185,1333,520,4443,1289,1069,1737,16015,4627,1018,2128,1175,2065,2015,4435,1774
2016-11,64833,4894,930,1701,3813,988,3209,695,407,28459,1246,3043,4099,2416,2591,1423,3293,1626
2016-12,89225,9171,5813,2313,2975,2779,2245,978,2309,35080,1415,3283,2631,7287,1137,2248,5727,1834
2017-01,39898,5102,3072,1716,849,2591,232,140,741,12766,592,5796,532,1164,529,986,1736,1354
2017-02,49582,9407,1618,1187,831,3475,466,465,30,13503,2504,2319,2998,1815,804,4198,2837,1125
2017-03,51620,7157,4300,2294,796,2332,193,172,124,13367,2701,6533,1261,1017,2995,997,3998,1383
2017-04,43568,7628,3065,2185,1086,1881,306,1049,67,12643,1952,738,3557,1585,619,1664,2120,1423
2017-05,53511,5114,7728,4627,2607,2435,2212,641,323,13176,1539,733,1046,1474,1241,1364,4845,2406
2017-06,59608,6017,4821,6326,4159,2790,215,2576,218,10674,5279,596,2806,2108,1484,947,6416,2176
2017-07,50180,8699,5303,2926,762,205,619,290,66,18966,2212,690,1869,646,1812,3001,1195,919
2017-08,48502,7373,5671,1264,1068,2536,322,175,334,13937,2447,2006,1771,2472,1474,3313,1519,820
2017-09,58488,16962,4585,595,848,201,297,1088,60,12509,4688,2335,3488,441,1496,3018,4774,1103
2017-10,47309,15824,2586,2622,1998,79,1099,1369,1792,9353,1965,624,909,1827,2736,1600,621,305
2017-11,50292,7797,2645,918,1983,145,85,1596,2423,20301,1282,4391,1134,676,2115,1217,1048,536
2017-12,100883,16051,1765,4718,5702,1656,3907,3186,3154,34387,2336,3702,3930,1999,3134,2800,7843,613
2018-01,37696,5694,3052,947,5079,227,190,145,50,9129,3312,3259,2136,1060,378,1196,1113,729
2018-02,43396,3504,1959,9438,1560,1289,312,212,223,16529,795,2181,1678,404,1501,569,849,393
2018-03,38479,4361,3046,944,3351,112,1067,226,54,11707,1754,1391,1960,327,1063,3065,3422,629
2018-04,46737,5291,1679,1213,3608,471,227,1931,68,15294,3282,2141,2207,520,2432,3468,1898,1007
2018-05,38919,5490,2391,1252,1132,953,278,676,68,9278,2784,1770,728,1906,1651,3894,3558,1110
2018-06,44278,3625,5269,3536,396,2363,241,1571,37,12027,3448,5055,1287,701,1198,2182,848,494
2018-07,58295,6305,10817,829,1850,5436,2372,197,81,13733,2244,2522,1767,1567,2471,3607,1949,548
2018-08,38299,4296,1637,3075,7872,246,309,382,42,9452,1364,1514,1465,506,1066,1448,3109,516
2018-09,30268,3644,939,3074,1850,358,364,465,85,11030,2134,1963,1230,992,457,847,361,475
2018-10,35879,5856,1281,822,2138,148,595,369,35,10864,2220,2905,3743,323,1423,1342,1343,472
2018-11,43859,8509,1153,4535,6746,2959,95,4087,32,9451,843,242,2387,370,887,742,441,380
